RouteSurKey,Organization_Name,Time,Location,latitude,longitude,mean
1288,EPA,2/6/2017,WASHINGTON HS,41.687165,-87.539315,20.95
1289,EPA,2/7/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,10.9125
1290,EPA,2/7/2017,LIBERTY SCHOOL,41.864426,-87.748902,15.575
1291,EPA,2/7/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,10.65
1292,EPA,2/7/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,12.55833333
1293,EPA,2/7/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,11.18333333
1294,EPA,2/7/2017,VILLAGE GARAGE,41.670992,-87.732457,10.15416667
1295,EPA,2/8/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,6.895833333
1296,EPA,2/8/2017,LIBERTY SCHOOL,41.864426,-87.748902,8.054166667
1297,EPA,2/8/2017,MAYFAIR PUMP STATION,41.965485,-87.749928,4.5
1298,EPA,2/8/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,4.454166667
1299,EPA,2/8/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,5.55
1300,EPA,2/8/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,7.4625
1301,EPA,2/8/2017,VILLAGE GARAGE,41.670992,-87.732457,6.666666667
1302,EPA,2/9/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,3.958333333
1303,EPA,2/9/2017,GRAVES ES,41.782766,-87.805377,4.5
1304,EPA,2/9/2017,IEPA TRAILER,41.965193,-87.876265,5.6
1305,EPA,2/9/2017,LIBERTY SCHOOL,41.864426,-87.748902,6.583333333
1306,EPA,2/9/2017,MAYFAIR PUMP STATION,41.965485,-87.749928,4.5
1307,EPA,2/9/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,5.792
1308,EPA,2/9/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,6.529166667
1309,EPA,2/9/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,4.970833333
1310,EPA,2/9/2017,VILLAGE GARAGE,41.670992,-87.732457,4.833333333
1311,EPA,2/9/2017,VILLAGE HALL,41.80118,-87.832349,4.7
1312,EPA,2/9/2017,WASHINGTON HS,41.687165,-87.539315,5
